,donorName,dataset,inconclusive,donorTau,totalNumberOfCells,totalNumberOfDeterminedCells,totalNumberOfUndeterminedCells,skewed
148,AIDA155,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f332,FALSE,0.650516541,2270,1474,796,TRUE
149,AIDA156,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f333,TRUE,0.716533335,1775,1447,328,TRUE
150,AIDA157,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f334,FALSE,0.669163152,1537,1014,523,TRUE
151,AIDA158,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f335,FALSE,0.276722888,2278,1954,324,TRUE
152,AIDA160,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f336,FALSE,0.265235804,2392,2027,365,TRUE
153,AIDA161,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f337,FALSE,0.17866851,2485,2110,375,TRUE
154,AIDA162,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f338,FALSE,0.606384109,2022,1025,997,TRUE
155,AIDA163,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f339,FALSE,0.401232981,1646,855,791,FALSE
156,AIDA164,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f340,TRUE,0.734117776,2237,1818,419,TRUE
157,AIDA165,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f341,FALSE,0.398385931,1192,720,472,TRUE
158,AIDA166,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f342,FALSE,0.268166069,2171,1836,335,TRUE
159,AIDA168,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f343,FALSE,0.478060074,2257,1568,689,FALSE
160,AIDA169,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f344,FALSE,0.46874818,2277,1632,645,FALSE
161,AIDA170,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f345,TRUE,0.361978858,1706,919,787,TRUE
162,AIDA171,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f346,FALSE,0.536731612,1713,816,897,FALSE
163,AIDA172,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f347,FALSE,0.481166037,683,242,441,FALSE
164,AIDA173,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f348,FALSE,0.432794879,1967,810,1157,FALSE
165,AIDA174,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f349,FALSE,0.489039637,1786,675,1111,FALSE
166,AIDA175,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f350,TRUE,0.692319099,1621,1235,386,TRUE
167,AIDA176,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f351,FALSE,0.522975992,1233,703,530,FALSE
168,AIDA177,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f352,FALSE,0.368976081,2540,1685,855,TRUE
169,AIDA178,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f353,FALSE,0.515924458,2199,890,1309,FALSE
170,AIDA179,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f354,FALSE,0.583623054,1056,680,376,FALSE
