"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","neg_logPval","donorName","meta_p_value","max_log2FC","count","adjusted_meta_p_value"
"176","AC004817.5",0.000528330969025716,-3.8674807036799,0.001,0.025,1,3.27709393165116,"AIDA098",0.000528330969025716,-3.8674807036799,1,0.00184639203522764
"178","AC004825.3",0.800734016504824,-0.162799433832933,0.009,0.011,1,0.0965117215533525,"AIDA151",4.50909701035471e-06,-6.25186059724065,22,3.57225371527939e-05
"180","AC004834.1",0.229233336079454,-1.66432552462706,0,0.013,1,0.639722225174972,"AIDA042",0.00428228734849117,-3.53859149972495,6,0.0095632350432658
"181","AC004837.3",0.00158705889394631,-4.62489131160874,0,0.013,1,2.79940695677299,"AIDA098",0.00158705889394631,-4.62489131160874,1,0.00437058161054114
"183","AC004839.2",4.47233538903143e-05,5.96837463398887,0.021,0,1,4.34946563532201,"AIDA023",1.65607941367451e-05,5.96837463398887,5,0.000109251889799503
"185","AC004846.2",0.0110966570214624,-3.9248425667586,0.003,0.037,1,1.9548078370512,"AIDA048",7.87741818859278e-06,-3.9248425667586,20,5.77134199819391e-05
"193","AC004889.1",0.317662922302012,0.565368167062692,0.048,0.03,1,0.498033473178372,"AIDA080",0.014901545360076,1.98462100599092,114,0.0258662572538217
"194","AC004893.3",0.0208794379348491,-3.36332440585949,0,0.013,1,1.68028119652605,"AIDA035",0.000446971217946117,-3.66463910898304,37,0.00161548168771954
"196","AC004906.1",0.630001771023083,-0.332631943315071,0.02,0.025,1,0.200658229682178,"AIDA095",0.0126834456316495,3.98006238667788,101,0.0227393893199121
"198","AC004918.1",0.363030178666739,1.00537472054608,0.019,0.011,1,0.440057270601207,"AIDA160",0.00535348656956492,-3.5609796529667,41,0.0113622649938762
"200","AC004921.1",0.0224835748080639,3.74170280245442,0.015,0,1,1.64813463634199,"AIDA051",5.56230133739873e-05,4.29944215156738,8,0.000296144280824992
